2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:107:__init__ > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:179:start > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:11:11 focus_guard_skip_suspended remaining='1.611' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:11 focus_guard_skip_suspended remaining='1.507' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:11 focus_guard_skip_suspended remaining='1.390' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:11 focus_guard_skip_suspended remaining='1.330' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:12 focus_guard_skip_suspended remaining='1.237' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:12 focus_guard_skip_suspended remaining='1.144' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:12 focus_guard_skip_suspended remaining='1.021' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:12 focus_guard_skip_suspended remaining='0.957' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:12 focus_guard_skip_suspended remaining='0.862' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:12 focus_guard_skip_suspended remaining='4.999' state=('selected', 'word_selection', 67422) fg_hwnd=9177346 fg_class='Qt5152QWindowToolSaveBits' fg_title='Writing Assistant Mini'
2026-05-18 03:11:14 show_near_cursor window_handle=67422 collapsed=False state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:14 focus_guard_skip_suspended remaining='4.065' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:14 show_near_cursor window_handle=67422 collapsed=False state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:14 focus_guard_skip_suspended remaining='3.956' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:14 focus_guard_skip_suspended remaining='3.863' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:14 focus_guard_skip_suspended remaining='3.768' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:14 focus_guard_skip_suspended remaining='3.659' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='3.523' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='3.485' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='3.396' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='3.280' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='3.163' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='3.123' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='3.030' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='2.925' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='2.796' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='2.747' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:15 focus_guard_skip_suspended remaining='2.639' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='2.546' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='2.432' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='2.357' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='2.264' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='2.156' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='2.043' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='1.968' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='1.887' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='1.794' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:16 focus_guard_skip_suspended remaining='1.688' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='1.607' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='1.511' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='1.418' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='1.312' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='1.230' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='1.137' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='1.022' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
